,name,playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,matchId
34,SOYA005,account.b237730d253e490abe9c6edb438368da,0.0,0.0,0.0,21.6,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,143.65797,8.0,26.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
35,Cupid1010,account.3b15698a19a74a94852ac83809931ec2,0.0,0.0,0.0,0.0,byzone,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,33.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
36,rlaejrfuf1,account.c698b37eafff4f59aadcbaa8eed35ada,2.0,0.0,0.0,275.0,byplayer,0.0,0.0,15.0,2.0,2.0,6.2836213,0.0,0.0,0.0,0.0,0.0,250.0,0.0,296.6317,3.0,23.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
37,2changmin2,account.6f60ced46a3746f8ab4f44314b1cc208,1.0,0.0,0.0,296.35,byplayer,0.0,0.0,26.0,1.0,1.0,25.522556,0.0,0.0,0.0,0.0,0.0,101.0,0.0,43.66642,2.0,30.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
38,DEAD_ART1STS,account.90bca275c8594afdac0120f0da7e8b19,0.0,0.0,1.0,0.0,byplayer,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,0.0,561.13965,2.0,21.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
39,Finalofangel,account.c092845f6e2d432382e6d0eabcc9865e,0.0,0.0,0.0,105.42233,byplayer,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,0.0,391.86804,2.0,21.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
40,Named_Seodaemun,account.dcba077f18c840b28d8433780fd16449,1.0,0.0,4.0,371.52957,byplayer,1.0,4.0,12.0,1.0,2.0,43.77705,0.0,0.0,0.0,0.0,0.0,769.0,0.0,1573.6025,7.0,11.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
41,DontHide,account.1023a5d9426b4f638eebdef01b54fdb0,1.0,1.0,4.0,272.34058,byplayer,0.0,10.0,10.0,1.0,2.0,123.36455,2.0,0.0,0.0,0.0,0.0,817.0,0.0,1839.947,3.0,9.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
42,Ibis_06_07,account.b5dc639393b740168d78032e41d2d222,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,21.488571,1.0,33.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
43,da_kyeong2,account.dff3e124d71a42ecbbf12635ab40908b,0.0,0.0,1.0,49.17311,byplayer,0.0,1.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,261.0,0.0,161.20569,3.0,22.0,3d88e9f0-b06d-471d-a69e-941aae5a38f7
